"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lightchiropractic.sg/light-chiropractic-review-running-lower-back-pain/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/how-chiropractors-can-help-improve-the-quality-of-your-life/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/blog/page/2/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/light-chiropractic-review-link-between-yoga-chiropractic/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/how-to-find-the-best-chiropractor/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/blog/page/3/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/blog/page/6/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/staying-fit-and-healthy-while-working-behind-the-desk/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/light-chiropractic-review-on-avoiding-swimming-injuries/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/the-benefits-of-getting-regular-chiropractic-adjustments/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/neck-pain-can-real-pain-neck/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/tension-headaches/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
